,meas_wm,wm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
535,0.09,0.11938218585742184,19,N20-14-1,23,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
536,0.08,0.11235970433639704,19,N20-14-1,17,2,0.0,43.0,160.0,14.0,0.0153938040025899,1,1a,1,1
537,0.08,0.11235970433639704,19,N20-14-1,22,2,0.0,43.0,160.0,14.0,0.0153938040025899,1,1a,1,1
538,0.08,0.11306195248849951,19,N20-14-1,20,2,0.0,43.0,161.0,14.0,0.0153938040025899,1,1a,1,1
539,0.17,0.2477932765275899,19,N20-14-1,30,2,0.0,43.0,260.0,14.0,0.0153938040025899,2,1a,1,1
540,0.22,0.2992580339602432,19,N20-14-1,31,2,0.0,43.0,314.0,14.0,0.0153938040025899,2,1a,1,1
541,0.14,0.15941033052726328,19,N20-14-1,29,2,0.0,43.0,227.0,14.0,0.0153938040025899,1,1a,1,1
542,0.11,0.13764063781208635,19,N20-14-1,28,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
543,0.1,0.1369383896599839,19,N20-14-1,26,2,0.0,43.0,195.0,14.0,0.0153938040025899,1,1a,1,1
544,0.1,0.12851141183475412,19,N20-14-1,24,2,0.0,43.0,183.0,14.0,0.0153938040025899,1,1a,1,1
545,0.1,0.1207866821616268,19,N20-14-1,27,2,0.0,43.0,172.0,14.0,0.0153938040025899,1,1a,1,1
546,0.08,0.11235970433639704,19,N20-14-1,13,2,0.0,43.0,160.0,14.0,0.0153938040025899,1,1a,1,1
547,0.07,0.11938218585742184,19,N20-14-2,20,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
548,0.11,0.1601125786793658,19,N20-14-2,33,2,0.0,43.0,228.0,14.0,0.0153938040025899,1,1a,1,1
549,0.07,0.11025295988008958,19,N20-14-2,18,2,0.0,43.0,157.0,14.0,0.0153938040025899,1,1a,1,1
550,0.11,0.14185412672470124,19,N20-14-2,31,2,0.0,43.0,202.0,14.0,0.0153938040025899,1,1a,1,1
551,0.08,0.12640466737844666,19,N20-14-2,26,2,0.0,43.0,180.0,14.0,0.0153938040025899,1,1a,1,1
552,0.07,0.11938218585742184,19,N20-14-2,25,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
553,0.12,0.22206089781126326,19,N20-14-2,34,2,0.0,43.0,233.0,14.0,0.0153938040025899,2,1a,1,1
554,0.07,0.11446644879270448,19,N20-14-2,24,2,0.0,43.0,163.0,14.0,0.0153938040025899,1,1a,1,1
555,0.17,0.2849622680067284,19,N20-14-2,36,2,0.0,43.0,299.0,14.0,0.0153938040025899,2,1a,1,1
556,0.07,0.11025295988008958,19,N20-14-2,16,2,0.0,43.0,157.0,14.0,0.0153938040025899,1,1a,1,1
557,0.14,0.2477932765275899,19,N20-14-2,35,2,0.0,43.0,260.0,14.0,0.0153938040025899,2,1a,1,1
558,0.07,0.10744396727167965,19,N20-14-2,14,2,0.0,43.0,153.0,14.0,0.0153938040025899,1,1a,1,1
559,0.1,0.14606761563731616,19,N20-14-2,28,2,0.0,43.0,208.0,14.0,0.0153938040025899,1,1a,1,1
560,0.07,0.11095520803219207,19,N20-14-2,21,2,0.0,43.0,158.0,14.0,0.0153938040025899,1,1a,1,1
561,0.07,0.11938218585742184,19,N20-14-2,22,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
562,0.11,0.14255637487680373,19,N20-14-2,29,2,0.0,43.0,203.0,14.0,0.0153938040025899,1,1a,1,1
563,0.09,0.1369383896599839,19,N20-14-2,27,2,0.0,43.0,195.0,14.0,0.0153938040025899,1,1a,1,1
564,0.11,0.12289342661793423,19,N20-14-3,16,2,0.0,43.0,175.0,14.0,0.0153938040025899,1,1a,1,1
565,0.09,0.11095520803219207,19,N20-14-3,18,2,0.0,43.0,158.0,14.0,0.0153938040025899,1,1a,1,1
566,0.11,0.12570241922634418,19,N20-14-3,22,2,0.0,43.0,179.0,14.0,0.0153938040025899,1,1a,1,1
567,0.13,0.15800583422305833,19,N20-14-3,27,2,0.0,43.0,225.0,14.0,0.0153938040025899,1,1a,1,1
568,0.2,0.2973519318331078,19,N20-14-3,29,2,0.0,43.0,312.0,14.0,0.0153938040025899,2,1a,1,1
569,0.11,0.12570241922634418,19,N20-14-3,19,2,0.0,43.0,179.0,14.0,0.0153938040025899,1,1a,1,1
570,0.1,0.12148893031372929,19,N20-14-3,21,2,0.0,43.0,173.0,14.0,0.0153938040025899,1,1a,1,1
571,0.16,0.2477932765275899,19,N20-14-3,28,2,0.0,43.0,260.0,14.0,0.0153938040025899,2,1a,1,1
572,0.11,0.13483164520367644,19,N20-14-3,23,2,0.0,43.0,192.0,14.0,0.0153938040025899,1,1a,1,1
573,0.09,0.1095507117279871,19,N20-14-3,15,2,0.0,43.0,156.0,14.0,0.0153938040025899,1,1a,1,1
574,0.12,0.14676986378941861,19,N20-14-3,26,2,0.0,43.0,209.0,14.0,0.0153938040025899,1,1a,1,1
575,0.12,0.14606761563731616,19,N20-14-3,24,2,0.0,43.0,208.0,14.0,0.0153938040025899,1,1a,1,1
576,0.07,0.1095507117279871,19,N20-14-3,12,2,0.0,43.0,156.0,14.0,0.0153938040025899,1,1a,1,1
577,0.1,0.12517131131364834,19,N20-20-1,19,2,0.0,40.0,159.0,20.0,0.0314159265358979,2,1a,1,1
578,0.15,0.17319300936479645,19,N20-20-1,20,2,0.0,40.0,220.0,20.0,0.0314159265358979,2,1a,1,1
579,0.15,0.17319300936479645,19,N20-20-2,32,2,0.0,40.0,220.0,20.0,0.0314159265358979,2,1a,1,1
580,0.1,0.1259585522653065,19,N20-20-2,31,2,0.0,40.0,160.0,20.0,0.0314159265358979,2,1a,1,1
581,0.1,0.12517131131364834,19,N20-20-3,31,2,0.0,40.0,159.0,20.0,0.0314159265358979,2,1a,1,1
582,0.15,0.17319300936479645,19,N20-20-3,32,2,0.0,40.0,220.0,20.0,0.0314159265358979,2,1a,1,1
583,0.22,0.2800110212552872,19,N22-10-1,24,2,0.0,45.0,338.0,10.0,0.0078539816339744,1,1a,1,1
584,0.18,0.2733835414622626,19,N22-10-1,13,2,0.0,45.0,330.0,10.0,0.0078539816339744,1,1a,1,1
585,0.23,0.2858100660741837,19,N22-10-2,26,2,0.0,45.0,345.0,10.0,0.0078539816339744,1,1a,1,1
586,0.17,0.28166789120354335,19,N22-10-2,8,2,0.0,45.0,340.0,10.0,0.0078539816339744,1,1a,1,1
587,0.24,0.289952240944824,19,N22-10-2,14,2,0.0,45.0,350.0,10.0,0.0078539816339744,1,1a,1,1
588,0.27,0.289952240944824,19,N22-10-2,10,2,0.0,45.0,350.0,10.0,0.0078539816339744,1,1a,1,1
589,0.18,0.2800110212552872,19,N22-10-3,13,2,0.0,45.0,338.0,10.0,0.0078539816339744,1,1a,1,1
590,0.2,0.2791825862811591,19,N22-10-3,16,2,0.0,45.0,337.0,10.0,0.0078539816339744,1,1a,1,1
591,0.11,0.13764063781208635,19,N22-14-1,16,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
592,0.11,0.13834288596418884,19,N22-14-1,19,2,0.0,43.0,197.0,14.0,0.0153938040025899,1,1a,1,1
593,0.1,0.12640466737844666,19,N22-14-1,18,2,0.0,43.0,180.0,14.0,0.0153938040025899,1,1a,1,1
594,0.2,0.20154521965341216,19,N22-14-1,26,2,0.0,43.0,287.0,14.0,0.0153938040025899,1,1a,1,1
595,0.11,0.13764063781208635,19,N22-14-1,12,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
596,0.13,0.15941033052726328,19,N22-14-1,24,2,0.0,43.0,227.0,14.0,0.0153938040025899,1,1a,1,1
597,0.12,0.14536536748521364,19,N22-14-1,23,2,0.0,43.0,207.0,14.0,0.0153938040025899,1,1a,1,1
598,0.1,0.12851141183475412,19,N22-14-1,11,2,0.0,43.0,183.0,14.0,0.0153938040025899,1,1a,1,1
599,0.12,0.1601125786793658,19,N22-14-1,22,2,0.0,43.0,228.0,14.0,0.0153938040025899,1,1a,1,1
600,0.17,0.18328676769874766,19,N22-14-1,25,2,0.0,43.0,261.0,14.0,0.0153938040025899,1,1a,1,1
601,0.1,0.12921365998685658,19,N22-14-1,15,2,0.0,43.0,184.0,14.0,0.0153938040025899,1,1a,1,1
602,0.11,0.14396087118100873,19,N22-14-1,20,2,0.0,43.0,205.0,14.0,0.0153938040025899,1,1a,1,1
603,0.13,0.15028110454993104,19,N22-14-2,15,2,0.0,43.0,214.0,14.0,0.0153938040025899,1,1a,1,1
604,0.12,0.13974738226839378,19,N22-14-2,17,2,0.0,43.0,199.0,14.0,0.0153938040025899,1,1a,1,1
605,0.19,0.2092699493265395,19,N22-14-2,26,2,0.0,43.0,298.0,14.0,0.0153938040025899,1,1a,1,1
