,meas_wmax,wmax_001b,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
301,0.145,0.20171351892118428,19,N10-20-3,27,2,0.0,40.0,168.0,20.0,0.0314159265358979,2,1a,1,1
302,0.174,0.2980809760728258,19,N10-20-3,28,2,0.0,40.0,222.0,20.0,0.0314159265358979,2,1a,1,1
303,0.176,0.19992719402791564,19,N12-10-1,4,2,0.0,45.0,325.0,10.0,0.0078539816339744,1,1a,1,1
304,0.214,0.19069978507278107,19,N12-10-1,7,2,0.0,45.0,310.0,10.0,0.0078539816339744,1,1a,1,1
305,0.238,0.19869687283389767,19,N12-10-1,8,2,0.0,45.0,323.0,10.0,0.0078539816339744,1,1a,1,1
306,0.253,0.213460727162113,19,N12-10-1,9,2,0.0,45.0,347.0,10.0,0.0078539816339744,1,1a,1,1
307,0.176,0.19992719402791564,19,N12-10-1,12,2,0.0,45.0,325.0,10.0,0.0078539816339744,1,1a,1,1
308,0.238,0.19869687283389767,19,N12-10-1,16,2,0.0,45.0,323.0,10.0,0.0078539816339744,1,1a,1,1
309,0.238,0.1962362304458618,19,N12-10-1,20,2,0.0,45.0,319.0,10.0,0.0078539816339744,1,1a,1,1
310,0.257,0.2110000847740771,19,N12-10-1,23,2,0.0,45.0,343.0,10.0,0.0078539816339744,1,1a,1,1
311,0.267,0.19254526686380796,19,N12-10-2,4,2,0.0,45.0,313.0,10.0,0.0078539816339744,1,1a,1,1
312,0.238,0.19746655163987975,19,N12-10-2,8,2,0.0,45.0,321.0,10.0,0.0078539816339744,1,1a,1,1
313,0.257,0.2091546029830502,19,N12-10-2,9,2,0.0,45.0,340.0,10.0,0.0078539816339744,1,1a,1,1
314,0.233,0.2042333182069784,19,N12-10-2,12,2,0.0,45.0,332.0,10.0,0.0078539816339744,1,1a,1,1
315,0.253,0.213460727162113,19,N12-10-2,13,2,0.0,45.0,347.0,10.0,0.0078539816339744,1,1a,1,1
316,0.214,0.1900846244757721,19,N12-10-2,16,2,0.0,45.0,309.0,10.0,0.0078539816339744,1,1a,1,1
317,0.253,0.21469104835613095,19,N12-10-2,17,2,0.0,45.0,349.0,10.0,0.0078539816339744,1,1a,1,1
318,0.267,0.19562106984885283,19,N12-10-2,19,2,0.0,45.0,318.0,10.0,0.0078539816339744,1,1a,1,1
319,0.238,0.19746655163987975,19,N12-10-3,8,2,0.0,45.0,321.0,10.0,0.0078539816339744,1,1a,1,1
320,0.233,0.20361815760996943,19,N12-10-3,9,2,0.0,45.0,331.0,10.0,0.0078539816339744,1,1a,1,1
321,0.233,0.2054636394009964,19,N12-10-3,12,2,0.0,45.0,334.0,10.0,0.0078539816339744,1,1a,1,1
322,0.233,0.20607879999800532,19,N12-10-3,15,2,0.0,45.0,335.0,10.0,0.0078539816339744,1,1a,1,1
323,0.227,0.1979370100398845,19,N12-14-1,28,2,0.0,43.0,225.0,14.0,0.0153938040025899,1,1a,1,1
324,0.188,0.17242512874585494,19,N12-14-1,23,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
325,0.158,0.14427408731796024,19,N12-14-1,18,2,0.0,43.0,164.0,14.0,0.0153938040025899,1,1a,1,1
326,0.152,0.1513118476749339,19,N12-14-1,19,2,0.0,43.0,172.0,14.0,0.0153938040025899,1,1a,1,1
327,0.209,0.18298176928131543,19,N12-14-1,24,2,0.0,43.0,208.0,14.0,0.0153938040025899,1,1a,1,1
328,0.171,0.15922932807652931,19,N12-14-1,22,2,0.0,43.0,181.0,14.0,0.0153938040025899,1,1a,1,1
329,0.209,0.18386148932593716,19,N12-14-1,27,2,0.0,43.0,209.0,14.0,0.0153938040025899,1,1a,1,1
330,0.152,0.15043212763031222,19,N12-14-1,9,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
331,0.195,0.16626708843350296,19,N12-14-1,26,2,0.0,43.0,189.0,14.0,0.0153938040025899,1,1a,1,1
332,0.338,0.256878253029539,19,N12-14-1,30,2,0.0,43.0,292.0,14.0,0.0153938040025899,1,1a,1,1
333,0.152,0.15043212763031222,19,N12-14-1,14,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
334,0.274,0.22960693164626603,19,N12-14-1,29,2,0.0,43.0,261.0,14.0,0.0153938040025899,1,1a,1,1
335,0.171,0.1583496080319076,19,N12-14-1,17,2,0.0,43.0,180.0,14.0,0.0153938040025899,1,1a,1,1
336,0.152,0.15043212763031222,19,N12-14-1,16,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
337,0.171,0.1565901679426642,19,N12-14-1,20,2,0.0,43.0,178.0,14.0,0.0153938040025899,1,1a,1,1
338,0.208,0.1900195296382891,19,N12-14-1,25,2,0.0,43.0,216.0,14.0,0.0153938040025899,1,1a,1,1
339,0.152,0.15043212763031222,19,N12-14-1,21,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
340,0.152,0.1495524075856905,19,N12-14-1,10,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
341,0.152,0.1495524075856905,19,N12-14-1,13,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
342,0.158,0.14339436727333854,19,N12-14-2,19,2,0.0,43.0,163.0,14.0,0.0153938040025899,1,1a,1,1
343,0.338,0.25775797307416065,19,N12-14-2,26,2,0.0,43.0,293.0,14.0,0.0153938040025899,1,1a,1,1
344,0.152,0.1495524075856905,19,N12-14-2,17,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
345,0.152,0.14867268754106877,19,N12-14-2,14,2,0.0,43.0,169.0,14.0,0.0153938040025899,1,1a,1,1
346,0.152,0.15043212763031222,19,N12-14-2,13,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
347,0.274,0.22960693164626603,19,N12-14-2,25,2,0.0,43.0,261.0,14.0,0.0153938040025899,1,1a,1,1
348,0.227,0.2005761701737496,19,N12-14-2,23,2,0.0,43.0,228.0,14.0,0.0153938040025899,1,1a,1,1
349,0.251,0.21729085102156206,19,N12-14-2,24,2,0.0,43.0,247.0,14.0,0.0153938040025899,1,1a,1,1
350,0.171,0.15746988798728587,19,N12-14-2,20,2,0.0,43.0,179.0,14.0,0.0153938040025899,1,1a,1,1
351,0.209,0.187380369504424,19,N12-14-2,22,2,0.0,43.0,213.0,14.0,0.0153938040025899,1,1a,1,1
352,0.188,0.17242512874585494,19,N12-14-2,21,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
353,0.395,0.2867887345466771,19,N12-14-2,27,2,0.0,43.0,326.0,14.0,0.0153938040025899,2,1a,1,1
354,0.171,0.15746988798728587,19,N12-14-2,18,2,0.0,43.0,179.0,14.0,0.0153938040025899,1,1a,1,1
355,0.171,0.1583496080319076,19,N12-14-3,13,2,0.0,43.0,180.0,14.0,0.0153938040025899,1,1a,1,1
356,0.395,0.2867887345466771,19,N12-14-3,34,2,0.0,43.0,326.0,14.0,0.0153938040025899,2,1a,1,1
357,0.152,0.15043212763031222,19,N12-14-3,15,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
358,0.274,0.2287272116016443,19,N12-14-3,30,2,0.0,43.0,260.0,14.0,0.0153938040025899,1,1a,1,1
359,0.158,0.14427408731796024,19,N12-14-3,8,2,0.0,43.0,164.0,14.0,0.0153938040025899,1,1a,1,1
360,0.395,0.28502929445743364,19,N12-14-3,32,2,0.0,43.0,324.0,14.0,0.0153938040025899,2,1a,1,1
361,0.171,0.160109048121151,19,N12-14-3,22,2,0.0,43.0,182.0,14.0,0.0153938040025899,1,1a,1,1
362,0.152,0.1495524075856905,19,N12-14-3,12,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
363,0.171,0.160109048121151,19,N12-14-3,16,2,0.0,43.0,182.0,14.0,0.0153938040025899,1,1a,1,1
